,scientific_name,decimalLongitude,decimalLatitude
0,Aaadonta constricta ssp. babelthuapi,,
1,Abrocoma boliviensis,-64.4833,-17.9
2,Achatinella pupukanioe,-157.882181,21.405552
3,Acipenser gueldenstaedtii,49.9,37.2
4,Acipenser sturio,-4.737883,50.272691
5,Acrocephalus rimitarae,-152.797,-22.652
6,Agkistropleuron simplex,,
7,Alburnus vistonicus,25.108455,41.007507
8,Alexteroon jynx,9.979,4.991
9,Allaga ambigua,,
10,Allobates mcdiarmidi,,
11,Allomogurnda flavimarginata,,
12,Allotoca maculata,-104.083333,20.783333
13,Aloeides rossouwi,29.816667,-25.416667
14,Alosa killarnensis,,
15,Alsodes pehuenche,-70.221573,-35.826784
16,Alsophylax tadjikiensis,68.605834,37.655285
17,Alzoniella marianae,,
18,Amastra micans,,
19,Amazona auropalliata,-88.833333,13.733333
20,Amblema neislerii,-85.194313,30.236439
21,Amblyrhynchus cristatus ssp. trillmichi,-90.196657,-0.964248
22,Ambystoma leorae,-98.67,19.35
23,Ameerega planipaleae,-75.3833,-10.6167
24,Amphilophus astorquii,-86.016932,11.902287
25,Amphilophus supercilius,-86.013022,11.934842
26,Amphisbaena leali,,
27,Anabarilius yangzonensis,,
28,Ancylastrum cumingianus,146.16971,-42.06
29,Andinobates geminisae,-80.7714,8.8826
30,Andrias davidianus,104.587625,28.768247
31,Anilios insperatus,152.615252,-27.815295
32,Anodonta pallaryi,,
33,Anolis altavelensis,-71.64083,17.47306
34,Anolis darlingtoni,-74.0,18.4667
35,Anolis koopmani,-73.966698,18.2833
36,Anolis muralla,-86.73,15.08
37,Anolis roosevelti,-65.2833,18.3167
38,Anolis vanzolini,,
39,Anonconotus apenninigenus,7.13768,44.543015
40,Anthicodes maculatus,,
41,Antisolabis seychellensis,,
42,Aphanius almiriensis,23.02,37.84
43,Aphistogoniulus corallipes,46.924431,-24.988094
44,Aplonis pelzelni,158.0,7.0
45,Aposturisoma myriodon,-75.483333,-9.0
46,Aquiloeurycea praecellens,-96.916702,18.8333
47,Ara glaucogularis,-64.63,-13.78
48,Ardea insignis,93.057203,22.741356
49,Argia haberi,-83.69667,9.471666
50,Arinia oviformis,116.558333,4.671667
51,Arius festinus,48.714444,-15.833611
52,Aromobates alboguttatus,-71.3958,8.62022
53,Aromobates leopardalis,-70.606219,8.902578
54,Aromobates orostoma,-71.823228,8.251992
55,Arthroleptella rugosa,19.535722,-34.209333
56,Arthroleptis krokosua,,
57,Artisornis moreaui,39.716667,-5.366667
58,Aspidura deraniyagalae,,
59,Astroblepus formosus,,
60,Astyanax eremus,-49.733612,-25.585835
61,Ateles fusciceps ssp. fusciceps,-78.4167,0.75
62,Atelognathus patagonicus,-70.3833,-39.05
63,Atelopus arthuri,-78.904249,-1.868437
64,Atelopus carbonerensis,-71.3625,8.64694
65,Atelopus coynei,-78.867778,-0.302778
66,Atelopus eusebianus,-76.4,2.05
67,Atelopus gigas,,
68,Atelopus ignescens,-78.7167,-1.93333
69,Atelopus minutulus,-73.8103,4.15459
70,Atelopus nanay,-79.22667,-2.77444
71,Atelopus orcesi,,
72,Atelopus pastuso,-77.830833,0.705556
73,Atelopus petersi,-78.1367,-0.374444
74,Atelopus planispina,-78.616669,-2.8
75,Atelopus sanjosei,-75.078333,6.911944
76,Atelopus sorianoi,-71.7319,8.2498
77,Atelopus varius,-83.8833,9.8167
78,Atheta caprariensis,-25.31663,37.77558
79,Atlantica calathoides,-16.497,32.491
80,Atlantica putrescens,,
81,Atopophrynus syntomopus,-75.2612,5.70394
82,Atractus multidentatus,,
83,Atya brachyrhinus,-59.575,13.1778
84,Austrarchaea mcguiganae,149.52693,-36.12499
85,Austrolebias bagual,,
86,Avahi cleesei,44.602994,-19.000307
87,Aythya innotata,48.465361,-20.570014
88,Bahaba taipingensis,113.236095,23.106405
89,Balebreviceps hillmani,39.766667,6.783333
90,Barbodes cataractae,,
91,Barbodes sirang,124.256013,7.78716
92,Barbus euboicus,22.4167,38.9167
93,Batagur baska,88.389999,22.18
94,Batagur trivittata,,
95,Beddomeia tumida,,
96,Bedotia tricolor,,
97,Belgrandia varica,,
98,Belgrandiella cavernica,,
99,Belgrandiella multiformis,,
100,Bellamya ecclesi,34.9333,-14.0667
101,Bellamya pagodiformis,28.73,-9.35
102,Bembidion derelictus,,
103,Bermudamysis speluncola,,
104,Betta cracens,,
105,Betta omega,,
106,Betta simplex,98.8125,8.17064
107,Bithynia kastorias,,
108,Bokermannohyla izecksohni,-48.439722,-22.88
109,Bolitoglossa celaque,-88.68333,14.63333
110,Bolitoglossa decora,-86.73,15.08
111,Bolitoglossa leandrae,,
