taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
3,Aaadonta angaurana,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-22,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Rundell, R.J.","Barker, G., Cowie, R., Triantis, K., García, N. & Seddon, M.",0-8,0-8,200.0,1.0,,,,,,
198783,Aaadonta constricta ssp. babelthuapi,babelthuapi,ssp.,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-22,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Unknown,False,False,True,"Rundell, R.J.","Seddon, M., Pippard, H. & Barker, G.",1,10,200.0,1.0,,,,,,
198784,Aaadonta constricta ssp. constricta,constricta,ssp.,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"(Semper, 1874)",2012,2011-08-22,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Unknown,False,False,True,"Rundell, R.J.","Pippard, H., Seddon, M. & Barker, G.",0.5,12,200.0,1.0,,,,,,
198785,Aaadonta constricta ssp. komakanensis,komakanensis,ssp.,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-24,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Unknown,False,False,True,"Rundell, R.J.","Barker, G., Seddon, M. & Pippard, H.",0,7,200.0,1.0,,,,,,
198786,Aaadonta fuscozonata ssp. depressa,depressa,ssp.,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-22,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Unknown,False,False,True,"Rundell, R.J.","Seddon, M., Barker, G. & Pippard, H.",1,12,200.0,1.0,,,,,,
198787,Aaadonta fuscozonata ssp. fuscozonata,fuscozonata,ssp.,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"(Beddome, 1889)",2012,2011-08-22,CR,D,Unknown,False,False,True,"Rundell, R.J.","Seddon, M., Barker, G. & Pippard, H.",2,7,200.0,1.0,,,,,,
6,Aaadonta irregularis,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Semper, 1874",2012,2011-08-22,CR,"B2ab(ii,iii)",Decreasing,False,False,True,"Rundell, R.J.","Cowie, R., Barker, G., Triantis, K. & García, N.",0.5,,200.0,1.0,,,,,,
7,Aaadonta kinlochi,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-22,CR,"B2ab(ii,iii)",Decreasing,False,False,True,"Rundell, R.J.","Barker, G., Cowie, R., Triantis, K. & García, N.",4,,200.0,1.0,,,,,,
8,Aaadonta pelewana,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,,"Solem, 1976",2012,2011-08-22,CR,D,Decreasing,False,False,True,"Rundell, R.J.","Barker, G., Cowie, R., Triantis, K. & García, N.",0-10,0-10,200.0,1.0,,,,,,
9,Aaptosyax grypus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Aaptosyax,Mekong Giant Salmon Carp,"Rainboth, 1991",2011,2011-01-17,CR,A2acd,Decreasing,False,True,False,"Vidthayanon, C.","Ng, H.H., Rainboth, W., Kottelat, M., Kullander, S.O., Parenti, L. & Allen, D.J.",,,200.0,180.0,,,,,,
125160424,Abavorana nazgul,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Abavorana,Gunung Jerai Black Stream-Frog,"Quah, Anuar, Grismer, Wood, Azizah &amp; Muin, 2017",2021,2018-01-15,CR,B1ab(iii),Unknown,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,10.39,1200.0,800.0,,,,,,
18,Abrocoma boliviensis,,,,CR,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Bolivian Chinchilla Rat,"Glanz &amp; Anderson, 1990",2016,2016-03-01,CR,"B1ab(i,ii,iii)",Decreasing,False,False,True,"Bernal, N.","Amori, G.",,,2270.0,1800.0,,,,,,
203014,Abronia campbelli,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,Campbell's Alligator Lizard,"Brodie &amp; Savage, 1993",2013,2012-05-06,CR,"B1ab(iii,v)",Decreasing,False,False,True,"Ariano-Sánchez, D., Johnson, J. & Acevedo, M.","Bowles, P.",,18,1900.0,1800.0,,,,,,
29479,Abronia frosti,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,Frost’s Arboreal Alligator Lizard,"Campbell, Sasa, Aceevedo &amp; Mendelson, 1998",2020,2012-05-06,CR,B1ab(iii),Decreasing,False,False,True,"Ariano-Sánchez, D., Acevedo, M. & Johnson, J.","Bowles, P.",,0.7,2900.0,2800.0,,,,,True,"Correction of coded threats: logging and wood harvesting has unintentional effects on the species, rather than the species being intentionally used for this purpose."
118245249,Acanthagrion franciscoi,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Acanthagrion,,"Machado &amp; Bede, 2016",2019,2018-09-20,CR,B2ab(iii),Unknown,False,True,True,"Vilela, D. & Guillermo-Ferreira, R.","Lozano, F. & Clausnitzer, V.",4,1119,,1360.0,,,,,,
60633,Acanthobrama centisquama,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Acanthobrama,Long-spine Bream,"Heckel, 1843",2014,2013-01-25,CR,"B1ab(i,ii,iii,iv)",Unknown,False,True,False,"Freyhof, J.","Ekmekçi, F., Özuluğ, M. & Smith, K.",12,12,,,,,,,,
203404,Acanthobrama hadiyahensis,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Acanthobrama,Arabian Bream,"Coad, Alkahem &amp; Behnke, 1983",2015,2012-04-05,CR,"B2ab(i,ii,iii,iv)",Decreasing,False,True,False,"Harrison, I.J.","Freyhof, J.",10,100,,,,,,,,
19017787,Acanthobrama tricolor,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Acanthobrama,Damascus bream,"(Lortet, 1883)",2014,2013-01-25,CR,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Unknown,False,True,False,"Freyhof, J.","Goren, M. & Smith, K.",0-10,0-10,,,,,,,,
61454,Acanthodactylus beershebensis,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,Be’er Sheva Fringe-fingered Lizard,"Moravec, Baha El Din, Seligmann, Sivan &amp; Werner, 1999",2006,2006-01-31,CR,A2c; B2ab(iii),Decreasing,False,False,True,"Werner, Y., Disi, M. & Mousa Disi, A.M.","Stuart, S.N. & Cox, N. (Global Reptile Assessment)",,,,,,,,,,
164562,Acanthodactylus harranensis,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,,"Baran, Kumlutaş, Lanza, Sindaco, Ilgaz, Avci &amp; Crucitti, 2005",2009,2008-12-14,CR,"B1ab(iii,v)+2ab(iii,v)",Decreasing,False,False,True,"Yakup Kaska, Yusuf Kumlutaş, Aziz Avci, Nazan Üzüm, Can Yeniyurt, Ferdi Akarsu, Roberto Sindaco",Neil Cox and Helen Temple,,,,,,,,,,
61459,Acanthodactylus mechriguensis,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,,"Nouira &amp; Blanc, 1999",2006,2006-01-31,CR,"B2ab(iii,v)",Decreasing,False,False,True,"Nouira, S. & Geniez, P.","Stuart, S.N. & Cox, N. (Global Reptile Assessment)",,,,,,,,,,
61463,Acanthodactylus spinicauda,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,Doumergue's Fringe-fingered Lizard,"Doumergue, 1901",2006,2006-01-31,CR,B2ab(iii),Decreasing,False,False,True,"Joger, U., Slimani, T., El Mouden, H. & Geniez, P.","Stuart, S.N. & Cox, N. (Global Reptile Assessment)",,,,,,,,,,
19674914,Acanthothericles bicoloripes,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,THERICLEIDAE,Acanthothericles,Morogoro Pretty Grasshopper,"Descamps, 1977",2020,2014-02-11,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Hochkirch, A.","Willemse, L.P.M. & Bushell, M.",4,4,,,,,,,True,"Correction of coded threats: logging and wood harvesting has unintentional effects on the species, rather than the species being intentionally used for this purpose."
176325,Achalinus jinggangensis,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,XENODERMIDAE,Achalinus,Zong's Odd-scaled Snake,"(Zong &amp; Ma, 1983)",2014,2011-08-31,CR,B1ab(iii),Decreasing,False,False,True,"Wang, Y., Lau, M. & Zhou, Z.","Cox, N.A. & Bowles, P.",,78,940.0,940.0,,,,,,
