taxonid_iucn,code,habitat,suitability,season,majorimportance
192132,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes
8371,1.4,Forest - Temperate,Suitable,,
8371,15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,,
8371,3.4,Shrubland - Temperate,Suitable,,
8371,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,,
8371,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
8371,5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,
8371,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,
8371,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,
8371,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,
8371,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,
19672638,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
19672638,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
57076,1.4,Forest - Temperate,Suitable,,Yes
57076,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes
8376,1.4,Forest - Temperate,Suitable,,Yes
8376,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes
57078,1.4,Forest - Temperate,Suitable,,Yes
57078,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes
178588,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,
103897825,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
59271,5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,
59271,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,
59275,5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,
59275,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,
22708058,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
22708058,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,No
176204,1.5,Forest - Subtropical/Tropical Dry,Suitable,,
176204,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
172706,14.5,Artificial/Terrestrial - Urban Areas,Suitable,,Yes
172706,1.5,Forest - Subtropical/Tropical Dry,Suitable,,Yes
196478,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,Yes
197941,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes
197941,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,Yes
197941,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes
8415,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
19673834,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
107435116,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
19673701,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
41810,9.10,Marine Neritic - Estuaries,Suitable,Resident,
41810,9.4,Marine Neritic - Subtidal Sandy,Suitable,Resident,
41810,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,Resident,
41810,9.6,Marine Neritic - Subtidal Muddy,Suitable,Resident,
184564,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,
89579216,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes
22695336,14.1,Artificial/Terrestrial - Arable Land,Marginal,Resident,No
22695336,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
174131,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,Yes
172599,14.3,Artificial/Terrestrial - Plantations,Suitable,,
172599,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
172599,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes
102345892,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,
141482238,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,Resident,Yes
141482238,9.8,Marine Neritic - Coral Reef,Suitable,Resident,Yes
141483602,9.8,Marine Neritic - Coral Reef,Suitable,Resident,Yes
59034974,9.10,Marine Neritic - Estuaries,Suitable,Seasonal Occurrence Unknown,No
59034974,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,Seasonal Occurrence Unknown,No
59034974,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Suitable,Seasonal Occurrence Unknown,No
78500583,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55193,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
55414,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
55414,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55414,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Breeding Season,Yes
55444,1.4,Forest - Temperate,Suitable,Resident,Yes
55444,1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes
55444,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55444,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Breeding Season,Yes
55595,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
55595,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Breeding Season,Yes
55595,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Breeding Season,Yes
22696495,12.4,Marine Intertidal - Mud Flats and Salt Flats,Suitable,Non-Breeding Season,No
22696495,1.4,Forest - Temperate,Suitable,Breeding Season,No
22696495,14.1,Artificial/Terrestrial - Arable Land,Suitable,Breeding Season,Yes
22696495,14.2,Artificial/Terrestrial - Pastureland,Suitable,Breeding Season,Yes
22696495,14.5,Artificial/Terrestrial - Urban Areas,Marginal,Seasonal Occurrence Unknown,
22696495,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Non-Breeding Season,No
22696495,4.4,Grassland - Temperate,Suitable,Resident,No
22696495,4.5,Grassland - Subtropical/Tropical Dry,Suitable,Resident,No
22696495,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Non-Breeding Season,Yes
22696373,14.1,Artificial/Terrestrial - Arable Land,Suitable,Resident,No
22696373,14.5,Artificial/Terrestrial - Urban Areas,Marginal,Resident,
22696373,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
22696373,2.1,Savanna - Dry,Suitable,Resident,No
22696373,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,No
8494,5.3,Wetlands (inland) - Shrub Dominated Wetlands,Suitable,,
164858,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,Yes
164847,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,Yes
118039625,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
8550,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,Yes
22711392,2.2,Savanna - Moist,Suitable,Resident,Yes
22711392,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,No
22711392,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,No
8553,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes
8553,4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,,Yes
8553,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,
22709399,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
63781,14.3,Artificial/Terrestrial - Plantations,Marginal,,
63781,1.5,Forest - Subtropical/Tropical Dry,Suitable,,
63781,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,
195530,1.5,Forest - Subtropical/Tropical Dry,Suitable,,
195530,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,
195530,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,
195530,3.6,Shrubland - Subtropical/Tropical Moist,Suitable,,
196510,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes
69619345,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
80379171,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
80379171,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes
13311403,3.4,Shrubland - Temperate,Suitable,,Yes
13311403,4.4,Grassland - Temperate,Suitable,,Yes
161719,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
161719,9.10,Marine Neritic - Estuaries,Marginal,Seasonal Occurrence Unknown,
44185,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
44185,9.10,Marine Neritic - Estuaries,Marginal,Seasonal Occurrence Unknown,
39411,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes
39411,9.10,Marine Neritic - Estuaries,Marginal,Seasonal Occurrence Unknown,
21992,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,Yes
8630,5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,Yes
56976578,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Seasonal Occurrence Unknown,
56976638,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Seasonal Occurrence Unknown,
22701605,14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,No
22701605,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Suitable,Resident,No
22701605,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,No
22701605,3.6,Shrubland - Subtropical/Tropical Moist,Suitable,Resident,Yes
22735914,3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes
103811282,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
103811282,3.6,Shrubland - Subtropical/Tropical Moist,Suitable,Resident,No
22719149,14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,No
22719149,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
