code,habitat,suitability,season,majorimportance,taxonid_iucn
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,19542
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,19542
2.2,Savanna - Moist,Marginal,,,19542
4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,,,19542
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,19542
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,19542
7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Suitable,,,19542
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,82347204
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,82347204
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,64588047
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,64588047
7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Suitable,,,64588047
14.4,Artificial/Terrestrial - Rural Gardens,Unknown,,,19549
2.2,Savanna - Moist,Suitable,,,19549
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,19549
7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Suitable,,,19549
18,Unknown,Suitable,,,136248
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,136248
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,85707170
5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,,85707170
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,85707170
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,84372306
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,84372306
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,19562
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,19562
1.6,Forest - Subtropical/Tropical Moist Lowland,Marginal,,,44784
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,44784
3.7,Shrubland - Subtropical/Tropical High Altitude,Marginal,,,44784
4.7,Grassland - Subtropical/Tropical High Altitude,Marginal,,,44784
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,,,44784
7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Suitable,,,44784
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,82346260
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,82346260
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,44786
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,44786
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Unknown,,,44786
7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Unknown,,,44786
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,197177
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,197177
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,197177
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,,197177
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,197176
1.5,Forest - Subtropical/Tropical Dry,Suitable,,,197176
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,178286
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,178286
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,,178286
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,197174
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,197174
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,197174
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,197169
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,197169
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,197169
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,,197169
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,,197173
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,,197173
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,197173
4.5,Grassland - Subtropical/Tropical Dry,Suitable,Resident,,197173
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,Resident,,197172
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,,197172
14.3,Artificial/Terrestrial - Plantations,Marginal,,,172681
1.5,Forest - Subtropical/Tropical Dry,Marginal,,,172681
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,172681
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,197170
1.4,Forest - Temperate,Suitable,Resident,Yes,19597
1.4,Forest - Temperate,Suitable,Resident,Yes,19595
1.4,Forest - Temperate,Suitable,Resident,Yes,19596
1.4,Forest - Temperate,Suitable,Resident,Yes,39829
4.5,Grassland - Subtropical/Tropical Dry,Suitable,,,82345696
8.1,Desert - Hot,Suitable,,,82345696
10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,Resident,Yes,60129
13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,Resident,Yes,60129
9.1,Marine Neritic - Pelagic,Suitable,Resident,Yes,60129
9.10,Marine Neritic - Estuaries,Suitable,Resident,Yes,60129
9.4,Marine Neritic - Subtidal Sandy,Suitable,Resident,Yes,60129
9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,Resident,Yes,60129
