year,assess_year,code,category,taxonid_iucn
2004,2004,EN,Endangered,41032
2002,2002,NT,Near Threatened,41032
2004,2004,EN,Endangered,14969
2002,2002,EN,Endangered,14969
1996,1996,EN,Endangered,14969
1994,1994,V,Vulnerable,14969
2004,2004,EN,Endangered,12148
2002,2002,EN,Endangered,12148
1996,1996,EN,Endangered,12148
1994,1994,V,Vulnerable,12148
2004,2004,EN,Endangered,12152
2002,2002,EN,Endangered,12152
1996,1996,EN,Endangered,12152
1994,1994,K,Insufficiently Known,12152
2004,2004,EN,Endangered,12153
2002,2002,EN,Endangered,12153
1996,1996,EN,Endangered,12153
1994,1994,V,Vulnerable,12153
2021,2020,EN,Endangered,73727511
2020,2019,EN,Endangered,58794
2004,2004,EN,Endangered,58794
1996,1996,EN,Endangered,12244
1994,1994,R,Rare,12244
2008,2008,EN,Endangered,133226
2016,2016,EN,Endangered,22688130
2012,2012,EN,Endangered,22688130
2008,2008,EN,Endangered,22688130
2004,2004,EN,Endangered,22688130
2000,2000,EN,Endangered,22688130
1996,1996,VU,Vulnerable,22688130
1994,1994,VU,Vulnerable,22688130
1988,1988,T,Threatened,22688130
2016,2016,EN,Endangered,12263
2008,2008,DD,Data Deficient,12263
1996,1996,VU,Vulnerable,12263
2016,2016,EN,Endangered,12264
2008,2008,NT,Near Threatened,12264
1996,1996,VU,Vulnerable,12264
2016,2016,EN,Endangered,12271
2008,2008,EN,Endangered,12271
1996,1996,VU,Vulnerable,12271
2021,2020,EN,Endangered,22719912
2018,2018,EN,Endangered,22719912
2016,2016,VU,Vulnerable,22719912
2012,2012,VU,Vulnerable,22719912
2008,2008,VU,Vulnerable,22719912
2004,2004,VU,Vulnerable,22719912
2000,2000,VU,Vulnerable,22719912
1996,1996,VU,Vulnerable,22719912
1994,1994,VU,Vulnerable,22719912
1988,1988,LR/lc,Lower Risk/least concern,22719912
2020,2010,EN,Endangered,172494
2011,2010,EN,Endangered,172494
2021,2020,EN,Endangered,12303
2015,2014,EN,Endangered,12303
2008,2008,EN,Endangered,12303
2004,2004,EN,Endangered,12303
2000,2000,EN,Endangered,12303
1996,1996,EN,Endangered,12303
1994,1994,V,Vulnerable,12303
1990,1990,V,Vulnerable,12303
1988,1988,V,Vulnerable,12303
1986,1986,V,Vulnerable,12303
1982,1982,V,Vulnerable,12303
2021,2019,EN,Endangered,12305
2015,2014,EN,Endangered,12305
2008,2008,EN,Endangered,12305
2004,2004,EN,Endangered,12305
2000,2000,EN,Endangered,12305
1996,1996,VU,Vulnerable,12305
1994,1994,V,Vulnerable,12305
1990,1990,V,Vulnerable,12305
1988,1988,V,Vulnerable,12305
1986,1986,I,Indeterminate,12305
1982,1982,I,Indeterminate,12305
2015,2013,EN,Endangered,16545046
2020,2017,EN,Endangered,47992974
2019,2017,EN,Endangered,47992974
2016,2016,EN,Endangered,45056
2008,2008,EN,Endangered,45056
2004,2004,VU,Vulnerable,45056
2018,2017,EN,Endangered,47992992
2020,2015,EN,Endangered,12375
2008,2008,EN,Endangered,12375
2004,2004,EN,Endangered,12375
2000,2000,VU,Vulnerable,12375
1996,1996,VU,Vulnerable,12375
2016,2016,EN,Endangered,22684586
2013,2013,EN,Endangered,22684586
2012,2012,EN,Endangered,22684586
2008,2008,VU,Vulnerable,22684586
2004,2004,VU,Vulnerable,22684586
2000,2000,VU,Vulnerable,22684586
1996,1996,VU,Vulnerable,22684586
1994,1994,VU,Vulnerable,22684586
1988,1988,T,Threatened,22684586
2008,2008,EN,Endangered,134759
2008,2008,EN,Endangered,12383
1996,1996,CR,Critically Endangered,12383
2020,2020,EN,Endangered,22720651
2018,2018,EN,Endangered,22720651
2016,2016,EN,Endangered,22720651
2012,2012,EN,Endangered,22720651
2008,2008,EN,Endangered,22720651
2004,2004,EN,Endangered,22720651
2000,2000,EN,Endangered,22720651
1994,1994,NR,Not Recognized,22720651
1988,1988,NR,Not Recognized,22720651
2021,2020,EN,Endangered,181008073
2016,2016,EN,Endangered,103823991
2019,2018,EN,Endangered,12395
1996,1996,CR,Critically Endangered,12395
1994,1994,E,Endangered,12395
1990,1990,E,Endangered,12395
1988,1988,V,Vulnerable,12395
1986,1986,V,Vulnerable,12395
2018,2017,EN,Endangered,102675478
2021,2020,EN,Endangered,178290336
2021,2020,EN,Endangered,178290603
2021,2020,EN,Endangered,16467724
2015,2012,EN,Endangered,16467724
2021,2020,EN,Endangered,12400
1996,1996,VU,Vulnerable,12400
2006,2006,EN,Endangered,60805
1996,1996,DD,Data Deficient,60805
2014,2013,EN,Endangered,60405
2006,2006,VU,Vulnerable,60405
2019,2019,EN,Endangered,91311316
2011,2011,EN,Endangered,181350
2014,2011,EN,Endangered,185152
1996,1996,EN,Endangered,12415
