taxonid_iucn,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
153834371,Eugenia tulanan,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,Merr.,2021,2020-11-30,EN,"B2ab(i,ii,iii)",Decreasing,False,False,True,Energy Development Corporation (EDC) ,"Umali, A., Malabrigo, P., Eduarte, G., Tobias, A.B., Divina, A., Magbuo, J.M. & Barstow, M.",20,124630.897,400,,,,,,,
104178774,Eugenia urschiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,H.Perrier,2021,2017-01-17,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,False,True,"Rabarimanarivo, M.","Manjato, N., Rakotoarinivo, M., Randrianizahana , H. & Razafindramanana, J.",45,92.1325,1139,962,,,,,True,Plant growth form was corrected to include tree.
32650,Eugenia uxpanapensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,P.E. Sanchez &amp; L.M. Ortega,1998,1998-01-01,EN,"A1c, B1+2c",,False,False,True,World Conservation Monitoring Centre,,,,,,,,,,,
191146350,Eugenia valsuganana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,Sobral,2021,2018-12-11,EN,"B1ab(i,iii)",Decreasing,False,False,True,"Fernandez, E., Verdi, M., Martinelli, G. & Giaretta, A.","da Rosa, P.",16,151,,,,,,,,
153320764,Eugenia variareolata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,McVaugh,2020,2019-02-28,EN,B1ab(iii),Decreasing,False,False,True,"Lopez-Gallego, C. & Morales M, P.A.","Beech, E.",16,1493,900,400,,,,,,
137694966,Eugenia viguieriana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,H.Perrier,2020,2020-06-17,EN,B2ab(iii),Decreasing,False,False,True,"Faranirina, L.","Letsara, R. & Rakotonasolo, F.",12-500,39434,1200,720,,,,,,
35248,Eugenia virotii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,Guillaumin,2020,2015-09-10,EN,"A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,False,True,"Tanguy, V., Veillon, J.-M., Amice, R., Barrière, R., Fleurot, D., Gailhbaud, P., Garnier, D. & Suprin, B.","Vandrot, H.",20,170,400,20,,,,,,
137694989,Eugenia williamsiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,N.Snow,2020,2020-04-09,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Faranirina, L.","Rakotonasolo, F., Letsara, R. & Razanatsoa, J.",12,12,300,200,,,,,,
104179326,Eugenia wilsoniana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,N. Snow,2019,2017-01-11,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,False,True,"Faranirina, L. & Ravololomanana, N.","Razafindramanana, J., Schatz, G.E., Randrianizahana , H., Ratovoson, F., Rakotoarinivo, M. & Manjato, N.",36.39,36.39,1103,944,,,,,,
137584347,Eugenia yangambensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,,Amshoff,2021,2020-01-24,EN,"B2ab(ii,iii,iv,v)",Decreasing,False,False,True,"Ikabanga, D.U., Simo-Droissart, M. & Tack, W.","Stévart, T. & Gereau, R.E.",8,,450,375,,,,,,
8187,Eulamprus leuraensis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Eulamprus,Blue Mountain Water Skink,"Wells &amp; Wellington, 1984",2018,2017-06-13,EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",Decreasing,False,True,True,"Shea, G., Cogger, H. & Greenlees, M.","Bowles, P.",40,1190,1100,900,,,,,,
8189,Eulamprus tympanum ssp. marnieae,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Eulamprus,,"(Lönnberg &amp; Andersson, 1915)",1996,1996-08-01,EN,B1+2c,,False,False,True,Australasian Reptile & Amphibian Specialist Group,,,,,,,,,,,
8206,Eulemur collaris,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Collared Brown Lemur,"(É. Geoffroy, 1812)",2020,2018-08-28,EN,A2cd+3cd+4cd,Decreasing,False,False,True,"Donati, G., Balestri, M., Campera, M., Hyde Roberts, S., Račevska, E., Ramanamanjato, J.-B. & Ravoahangy, A.","Reuter, K.E.",,16177,1875,0,,,,,,
