taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory
3,Aaadonta angaurana,,,,CR
198783,Aaadonta constricta ssp. babelthuapi,babelthuapi,ssp.,,CR
198784,Aaadonta constricta ssp. constricta,constricta,ssp.,,CR
198785,Aaadonta constricta ssp. komakanensis,komakanensis,ssp.,,CR
198786,Aaadonta fuscozonata ssp. depressa,depressa,ssp.,,CR
198787,Aaadonta fuscozonata ssp. fuscozonata,fuscozonata,ssp.,,CR
6,Aaadonta irregularis,,,,CR
7,Aaadonta kinlochi,,,,CR
8,Aaadonta pelewana,,,,CR
9,Aaptosyax grypus,,,,CR
36565,Abarema oxyphyllidia,,,,CR
125160424,Abavorana nazgul,,,,CR
32318,Abies beshanzuensis,,,,CR
44724,Abies delavayi subsp. fansipanensis,fansipanensis,subsp.,,CR
30478,Abies nebrodensis,,,,CR
30320,Abies numidica,,,,CR
32319,Abies yuanbaoshanensis,,,,CR
18,Abrocoma boliviensis,,,,CR
203014,Abronia campbelli,,,,CR
29479,Abronia frosti,,,,CR
44059,Abutilon eremitopetalum,,,,CR
44060,Abutilon menziesii,,,,CR
44061,Abutilon sandwicense,,,,CR
172605836,Acacia awestoniana,,,,CR
185046097,Acacia phlebophylla,,,,CR
45173,Acalypha ecuadorica,,,,CR
45174,Acalypha eggersii,,,,CR
180248513,Acalypha fragilis,,,,CR
164660590,Acalypha inaequilatera,,,,CR
153503140,Acalypha pulogensis,,,,CR
35066,Acalypha raivavensis,,,,CR
118245249,Acanthagrion franciscoi,,,,CR
60633,Acanthobrama centisquama,,,,CR
203404,Acanthobrama hadiyahensis,,,,CR
19017787,Acanthobrama tricolor,,,,CR
169311579,Acanthocladus colombianus,,,,CR
61454,Acanthodactylus beershebensis,,,,CR
164562,Acanthodactylus harranensis,,,,CR
61459,Acanthodactylus mechriguensis,,,,CR
61463,Acanthodactylus spinicauda,,,,CR
38181,Acanthophoenix rubra,,,,CR
80702763,Acanthothecis leucoxanthoides,,,,CR
80702772,Acanthothecis paucispora,,,,CR
19674914,Acanthothericles bicoloripes,,,,CR
