code,title,timing,scope,severity,score,invasive,taxonid_iucn
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,3
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,3
4.1,Roads & railroads,Ongoing,Unknown,Unknown,Unknown,,198783
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,198783
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,198783
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,198784
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,198784
6.2,"War, civil unrest & military exercises","Past, Unlikely to Return",Unknown,Unknown,Past Impact,,198784
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,198785
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,198785
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,198786
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,198786
6.2,"War, civil unrest & military exercises","Past, Unlikely to Return",Unknown,Unknown,Past Impact,,198786
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,198787
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,198787
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,6
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,6
6.2,"War, civil unrest & military exercises","Past, Unlikely to Return",Unknown,Unknown,Past Impact,,6
7.1,Fire & fire suppression,"Past, Unlikely to Return",Unknown,Unknown,Past Impact,,6
7.1.3,Trend Unknown/Unrecorded,"Past, Unlikely to Return",Unknown,Unknown,Past Impact,,6
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,7
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,7
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,8
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,,8
