taxonid_iucn,code,title,timing,scope,severity,score,invasive
192132,1.1,Housing & urban areas,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
192132,5.1,Hunting & trapping terrestrial animals,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
192132,5.1.1,Intentional use (species is the target),Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
192132,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
192132,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
192132,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
8371,11.2,Droughts,Ongoing,,,Low Impact: 3,
8371,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
8371,2.1.3,Agro-industry farming,Ongoing,,,Low Impact: 3,
8371,6.1,Recreational activities,Ongoing,,,Low Impact: 3,
8371,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
8371,7.2.8,Abstraction of ground water (unknown use),Ongoing,,,Low Impact: 3,
8371,8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis
8371,8.1,Invasive non-native/alien species/diseases (Unspecified SALMONIDAE),Ongoing,,,Low Impact: 3,Unspecified SALMONIDAE
8371,8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,,,Low Impact: 3,Batrachochytrium dendrobatidis
8371,8.1.2,Named species (Unspecified SALMONIDAE),Ongoing,,,Low Impact: 3,Unspecified SALMONIDAE
8371,8.2,Problematic native species/diseases,Ongoing,,,Low Impact: 3,
8371,8.2.1,Unspecified species,Ongoing,,,Low Impact: 3,
8371,9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,
8371,9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
8371,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
8371,9.3.4,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
19672638,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672638,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,
19672638,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672638,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,
19672638,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
19672638,5.3.5,Motivation Unknown/Unrecorded,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
57076,1.3,Tourism & recreation areas,Ongoing,,,,
57076,2.2,Wood & pulp plantations,Future,,,,
57076,2.2,Wood & pulp plantations,Ongoing,,,,
57076,2.2.1,Small-holder plantations,Ongoing,,,,
57076,2.2.2,Agro-industry plantations,Future,,,,
57076,5.3,Logging & wood harvesting,Ongoing,,,,
57076,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,,
8376,2.3,Livestock farming & ranching,Ongoing,,,,
8376,2.3.4,Scale Unknown/Unrecorded,Ongoing,,,,
8376,5.3,Logging & wood harvesting,Ongoing,,,,
8376,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,,
57078,1.3,Tourism & recreation areas,Ongoing,,,,
57078,2.2,Wood & pulp plantations,Ongoing,,,,
57078,2.2.2,Agro-industry plantations,Ongoing,,,,
57078,5.3,Logging & wood harvesting,Ongoing,,,,
